trading_code,company_name,sector,instrument_type,market_category,listing_status,observed_at,source_reference,verification_status
DHAKABANK,Dhaka Bank PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
DHAKAINS,Dhaka Insurance Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
DOMINAGE,Dominage Steel Building Systems Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
DOREENPWR,Doreen Power Generations and Systems Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
DSHGARME,Desh Garments Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
DSSL,Dragon Sweater and Spinning Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
DULAMIACOT,Dulamia Cotton Spinning Mills Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
DUTCHBANGL,Dutch-Bangla Bank PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
EASTERNINS,Eastern Insurance PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
EASTLAND,Eastland Insurance PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
EASTRNLUB,Eastern Lubricants Blenders PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
EBL,Eastern Bank PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
EBL1STMF,EBL First Mutual Fund,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
EBLNRBMF,EBL NRB Mutual Fund,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ECABLES,Eastern Cables Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
EGEN,eGeneration PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
EHL,Eastern Housing Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
EIL,Express Insurance Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
EMERALDOIL,Emerald Oil Industries Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ENVOYTEX,Envoy Textiles Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
EPGL,Energypac Power Generation PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ESQUIRENIT,Esquire Knit Composite PLC,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ETL,Evince Textiles Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
EXIM1STMF,EXIM Bank 1st Mutual Fund,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
EXIMBANK,Export Import (Exim) Bank of Bangladesh PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
FAMILYTEX,Familytex (BD) Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
FARCHEM,Far Chemical Industries Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
FAREASTFIN,Fareast Finance & Investment Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
FAREASTLIF,Fareast Islami Life Insurance Co. Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
FASFIN,FAS Finance & Investment Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
FBFIF,First Bangladesh Fixed Income Fund,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
FEDERALINS,Federal Insurance PLC,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
FEKDIL,Far East Knitting & Dyeing Industries PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
FINEFOODS,Fine Foods Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
FIRSTFIN,First Finance Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
FIRSTSBANK,First Security Islami Bank PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
FORTUNE,Fortune Shoes Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
FUWANGCER,Fu-Wang Ceramic Industries Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
FUWANGFOOD,Fu Wang Food Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
GBBPOWER,GBB Power Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
GEMINISEA,Gemini Sea Food PLC,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
GENEXIL,Genex Infosys PLC,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
GENNEXT,Generation Next Fashions Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
GHAIL,Golden Harvest Agro Industries Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
GHCL,Global Heavy Chemicals Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
GIB,Global Islami Bank PLC,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
GLDNJMF,ICB AMCL CMSF Golden Jubilee Mutual Fund,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
GLOBALINS,Global Insurance PLC,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
GOLDENSON,Golden Son Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
GP,Grameenphone Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
GPHISPAT,GPH Ispat Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
GQBALLPEN,GQ Ball Pen Industries Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
GRAMEENS2,Grameen One : Scheme Two,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
GREENDELMF,Green Delta Mutual Fund,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
GREENDELT,Green Delta Insurance PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
GSPFINANCE,GSP Finance Company (Bangladesh) PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
HAKKANIPUL,Hakkani Pulp & Paper Mills PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
HAMI,Hami Industries PLC,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
HEIDELBCEM,Heidelberg Materials Bangladesh PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
HFL,Hamid Fabrics PLC,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
HRTEX,H.R.Textile Ltd.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
HWAWELLTEX,Hwa Well Textiles (BD) PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
IBBL2PBOND,IBBL 2nd Perpetual Mudaraba Bond,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
IBBLPBOND,IBBL Mudaraba Perpetual Bond,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
IBNSINA,The IBN SINA Pharmaceutical Industry PLC,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
IBP,Indo-Bangla Pharmaceuticals Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ICB,Investment Corporation Of Bangladesh,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ICB3RDNRB,ICB AMCL Third NRB Mutual Fund,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ICBAGRANI1,ICB AMCL First Agrani Bank Mutual Fund,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ICBAMCL2ND,ICB AMCL Second Mutual Fund,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ICBEPMF1S1,ICB Employees Provident MF 1: Scheme 1,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ICBIBANK,ICB Islamic Bank Limited,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ICBSONALI1,ICB AMCL Sonali Bank Limited 1st Mutual Fund,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
ICICL,Islami Commercial Insurance PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
IDLC,IDLC Finance PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
IFADAUTOS,IFAD Autos PLC.,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
IFIC,IFIC Bank PLC,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
IFIC1STMF,IFIC Bank 1st Mutual Fund,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
IFILISLMF1,IFIL Islamic Mutual Fund-1,,,,,,Market evidence/instrument master/company_listing_2026-08-17.html,UNVERIFIED_INSTRUMENT
